,cve,assigner,published,title,description,vendor,product,affected versions,rating
1584,CVE-2025-20301,cisco,2025-08-14T16:30:45.530Z,Cisco Secure Firewall Management Center Software Authorization Bypass Vulnerability,"A vulnerability in the web-based management interface of Cisco Secure FMC Software could allow an authenticated, low-privileged, remote attacker to access troubleshoot files for a different domain.

This vulnerability is due to missing authorization checks. An attacker could exploit this vulnerability by directly accessing a troubleshoot file for a different domain that is managed on the same Cisco Secure FMC instance. A successful exploit could allow the attacker to retrieve a troubleshoot file for a different domain, which could allow the attacker to access sensitive information contained in the troubleshoot file.",CISCO,Cisco Firepower Management Center,6.2.3; 6.2.3.1; 6.2.3.10; 6.2.3.11; 6.2.3.12; 6.2.3.13; 6.2.3.14; 6.2.3.15; 6.2.3.16; 6.2.3.17; 6.2.3.18; 6.2.3.2; 6.2.3.3; 6.2.3.4; 6.2.3.5; 6.2.3.6; 6.2.3.7; 6.2.3.8; 6.2.3.9; 6.4.0; 6.4.0.1; 6.4.0.10; 6.4.0.11; 6.4.0.12; 6.4.0.13; 6.4.0.14; 6.4.0.15; 6.4.0.16; 6.4.0.17; 6.4.0.18; 6.4.0.2; 6.4.0.3; 6.4.0.4; 6.4.0.5; 6.4.0.6; 6.4.0.7; 6.4.0.8; 6.4.0.9; 6.6.0; 6.6.0.1; 6.6.1; 6.6.3; 6.6.4; 6.6.5; 6.6.5.1; 6.6.5.2; 6.6.7; 6.6.7.1; 6.6.7.2; 7.0.0; 7.0.0.1; 7.0.1; 7.0.1.1; 7.0.2; 7.0.2.1; 7.0.3; 7.0.4; 7.0.5; 7.0.6; 7.0.6.1; 7.0.6.2; 7.0.6.3; 7.0.7; 7.1.0; 7.1.0.1; 7.1.0.2; 7.1.0.3; 7.2.0; 7.2.0.1; 7.2.1; 7.2.2; 7.2.3; 7.2.3.1; 7.2.4; 7.2.4.1; 7.2.5; 7.2.5.1; 7.2.5.2; 7.2.6; 7.2.7; 7.2.8; 7.2.8.1; 7.2.9; 7.3.0; 7.3.1; 7.3.1.1; 7.3.1.2; 7.4.0; 7.4.1; 7.4.1.1; 7.4.2; 7.4.2.1; 7.6.0,warm
1585,CVE-2025-20302,cisco,2025-08-14T16:31:15.167Z,Cisco Secure Firewall Management Center Software Authorization Bypass Vulnerability,"A vulnerability in the web-based management interface of Cisco Secure FMC Software could allow an authenticated, low-privileged, remote attacker to retrieve a generated report from a different domain.

This vulnerability is due to missing authorization checks. An attacker could exploit this vulnerability by directly accessing a generated report file for a different domain that is managed on the same Cisco Secure FMC instance. A successful exploit could allow the attacker to access a previously run report for a different domain, which could allow an attacker to read activity recorded in that domain.",CISCO,Cisco Firepower Management Center,6.2.3; 6.2.3.1; 6.2.3.10; 6.2.3.11; 6.2.3.12; 6.2.3.13; 6.2.3.14; 6.2.3.15; 6.2.3.16; 6.2.3.17; 6.2.3.18; 6.2.3.2; 6.2.3.3; 6.2.3.4; 6.2.3.5; 6.2.3.6; 6.2.3.7; 6.2.3.8; 6.2.3.9; 6.4.0; 6.4.0.1; 6.4.0.10; 6.4.0.11; 6.4.0.12; 6.4.0.13; 6.4.0.14; 6.4.0.15; 6.4.0.16; 6.4.0.17; 6.4.0.18; 6.4.0.2; 6.4.0.3; 6.4.0.4; 6.4.0.5; 6.4.0.6; 6.4.0.7; 6.4.0.8; 6.4.0.9; 6.6.0; 6.6.0.1; 6.6.1; 6.6.3; 6.6.4; 6.6.5; 6.6.5.1; 6.6.5.2; 6.6.7; 6.6.7.1; 6.6.7.2; 7.0.0; 7.0.0.1; 7.0.1; 7.0.1.1; 7.0.2; 7.0.2.1; 7.0.3; 7.0.4; 7.0.5; 7.0.6; 7.0.6.1; 7.0.6.2; 7.0.6.3; 7.1.0; 7.1.0.1; 7.1.0.2; 7.1.0.3; 7.2.0; 7.2.0.1; 7.2.1; 7.2.2; 7.2.3; 7.2.3.1; 7.2.4; 7.2.4.1; 7.2.5; 7.2.5.1; 7.2.5.2; 7.2.6; 7.2.7; 7.2.8; 7.2.8.1; 7.2.9; 7.3.0; 7.3.1; 7.3.1.1; 7.3.1.2; 7.4.0; 7.4.1; 7.4.1.1; 7.4.2; 7.4.2.1; 7.6.0,warm
1586,CVE-2025-20306,cisco,2025-08-14T16:31:25.343Z,Cisco Secure Firewall Management Center Software Command Injection Vulnerability,"A vulnerability in the web-based management interface of Cisco Secure Firewall Management Center (FMC) Software could allow an authenticated, remote attacker with Administrator-level privileges to execute arbitrary commands on the underlying operating system.

This vulnerability is due to insufficient input validation of certain HTTP request parameters that are sent to the web-based management interface. An attacker could exploit this vulnerability by authenticating to the interface and sending a crafted HTTP request to an affected device. A successful exploit could allow the attacker to execute commands as the root&nbsp;user on the affected device. To exploit this vulnerability, an attacker would need&nbsp;Administrator-level credentials.",CISCO,Cisco Firepower Management Center,6.2.3; 6.2.3.1; 6.2.3.10; 6.2.3.11; 6.2.3.12; 6.2.3.13; 6.2.3.14; 6.2.3.15; 6.2.3.16; 6.2.3.17; 6.2.3.18; 6.2.3.2; 6.2.3.3; 6.2.3.4; 6.2.3.5; 6.2.3.6; 6.2.3.7; 6.2.3.8; 6.2.3.9; 6.4.0; 6.4.0.1; 6.4.0.10; 6.4.0.11; 6.4.0.12; 6.4.0.13; 6.4.0.14; 6.4.0.15; 6.4.0.16; 6.4.0.17; 6.4.0.18; 6.4.0.2; 6.4.0.3; 6.4.0.4; 6.4.0.5; 6.4.0.6; 6.4.0.7; 6.4.0.8; 6.4.0.9; 6.6.0; 6.6.0.1; 6.6.1; 6.6.3; 6.6.4; 6.6.5; 6.6.5.1; 6.6.5.2; 6.6.7; 6.6.7.1; 6.6.7.2; 7.0.0; 7.0.0.1; 7.0.1; 7.0.1.1; 7.0.2; 7.0.2.1; 7.0.3; 7.0.4; 7.0.5; 7.0.6; 7.0.6.1; 7.0.6.2; 7.0.6.3; 7.0.7; 7.1.0; 7.1.0.1; 7.1.0.2; 7.1.0.3; 7.2.0; 7.2.0.1; 7.2.1; 7.2.2; 7.2.3; 7.2.3.1; 7.2.4; 7.2.4.1; 7.2.5; 7.2.5.1; 7.2.5.2; 7.2.6; 7.2.7; 7.2.8; 7.2.8.1; 7.2.9; 7.3.0; 7.3.1; 7.3.1.1; 7.3.1.2; 7.4.0; 7.4.1; 7.4.1.1; 7.4.2; 7.4.2.1; 7.4.2.2; 7.6.0; 7.7.0,warm
1587,CVE-2025-20307,cisco,2025-07-02T16:12:58.622Z,Cisco BroadWorks Application Delivery Platform Cross-Site Scripting Vulnerability,"A vulnerability in the web-based management interface of Cisco BroadWorks Application Delivery Platform could allow an authenticated, remote attacker to to conduct cross-site scripting (XSS) attacks against a user of the interface.

This vulnerability is due to insufficient validation of user-supplied input by the web-based management interface of an affected system. An attacker could exploit this vulnerability by injecting malicious code into specific pages of the interface. A successful exploit could allow the attacker to execute arbitrary script code in the context of the affected interface or access sensitive, browser-based information. To exploit this vulnerability, the attacker must have valid administrative credentials.",CISCO,Cisco BroadWorks,,warm
1588,CVE-2025-20308,cisco,2025-07-02T16:05:35.206Z,Cisco Spaces Connector Privilege Escalation Vulnerability,"A vulnerability in Cisco Spaces Connector could allow an authenticated, local attacker to elevate privileges and execute arbitrary commands on the underlying operating system as root.

This vulnerability is due to insufficient restrictions during the execution of specific CLI commands. An attacker could exploit this vulnerability by logging in to the Cisco Spaces Connector CLI as the spacesadmin user and executing a specific command with crafted parameters. A successful exploit could allow the attacker to elevate privileges from the spacesadmin user and execute arbitrary commands on the underlying operating system as root.",CISCO,Cisco DNA Spaces Connector,Connector 3 Jan 2023; Connector 3-Jan 2024; Connector 3-Jan 2025; Connector 3-Jul 2024; Connector 3-Jun 2024; Connector 3-May 2023; Connector 3-May 2024,warm
1589,CVE-2025-20309,cisco,2025-07-02T16:39:40.392Z,Cisco Unified Communications Manager Static SSH Credentials Vulnerability,"A vulnerability in Cisco Unified Communications Manager (Unified CM) and Cisco Unified Communications Manager Session Management Edition (Unified CM SME) could allow an unauthenticated, remote attacker to log in to an affected device using the root account, which has default, static credentials that cannot be changed or deleted.

This vulnerability is due to the presence of static user credentials for the root account that are reserved for use during development. An attacker could exploit this vulnerability by using the account to log in to an affected system. A successful exploit could allow the attacker to log in to the affected system and execute arbitrary commands as the root user.",CISCO,Cisco Unified Communications Manager,15.0.1.13010-1; 15.0.1.13011-1; 15.0.1.13012-1; 15.0.1.13013-1; 15.0.1.13014-1; 15.0.1.13015-1; 15.0.1.13016-1; 15.0.1.13017-1,hot
1590,CVE-2025-20310,cisco,2025-07-02T16:05:43.738Z,Cisco Enterprise Chat and Email Stored Cross-Site Scripting Vulnerability,"A vulnerability in the web UI of Cisco Enterprise Chat and Email (ECE) could allow an unauthenticated, remote attacker to conduct a stored cross-site scripting (XSS) attack against a user of the interface.

This vulnerability exists because the web UI does not properly validate user-supplied input. An attacker could exploit this vulnerability by persuading a user of the interface to click a crafted link. A successful exploit could allow the attacker to execute arbitrary script code in the context of the affected interface or access sensitive, browser-based information. To successfully exploit this vulnerability, an attacker would need valid&nbsp;agent&nbsp;credentials.",CISCO,Cisco Enterprise Chat and Email,11.5(1); 11.5(1)_ES1; 11.5(1)_ES1_ET1; 11.6(1); 11.6(1)_ES1; 11.6(1)_ES10; 11.6(1)_ES11; 11.6(1)_ES12; 11.6(1)_ES12_ET1; 11.6(1)_ES2; 11.6(1)_ES3; 11.6(1)_ES4; 11.6(1)_ES5; 11.6(1)_ES6; 11.6(1)_ES6_ET1; 11.6(1)_ES7; 11.6(1)_ES8; 11.6(1)_ES8_ET1; 11.6(1)_ES9; 11.6(1)_ES9a; 12.0(1); 12.0(1)_ES1; 12.0(1)_ES2; 12.0(1)_ES3; 12.0(1)_ES4; 12.0(1)_ES5; 12.0(1)_ES5a; 12.0(1)_ES6; 12.0(1)_ES6_ET1; 12.0(1)_ES6_ET2; 12.0(1)_ES6_ET3; 12.0(1)_ES7; 12.0(1)_ES7_ET1; 12.5(1); 12.5(1)_ES1; 12.5(1)_ES2; 12.5(1)_ES3; 12.5(1)_ES3_ET1; 12.5(1)_ES3_ET2; 12.5(1)_ES3_ET3; 12.5(1)_ES4; 12.5(1)_ES4_ET1; 12.5(1)_ES4_ET2; 12.5(1)_ES5; 12.5(1)_ES5_ET1; 12.5(1)_ES5_ET2; 12.5(1)_ES6; 12.5(1)_ES6_ET1; 12.5(1)_ES7; 12.5(1)_ES7_ET1; 12.5(1)_ES8; 12.5(1)_ES8_ET1; 12.5(1)_ES9; 12.5(1)_ET1; 12.6(1); 12.6(1)_ES1; 12.6(1)_ES10; 12.6(1)_ES10_ET1; 12.6(1)_ES1_ET1; 12.6(1)_ES1_ET2; 12.6(1)_ES2; 12.6(1)_ES2_ET5; 12.6(1)_ES3; 12.6(1)_ES3_ET3; 12.6(1)_ES4; 12.6(1)_ES4_ET1; 12.6(1)_ES4_ET2; 12.6(1)_ES5; 12.6(1)_ES5_ET1; 12.6(1)_ES5_ET2; 12.6(1)_ES5_ET3; 12.6(1)_ES6; 12.6(1)_ES6_ET1; 12.6(1)_ES6_ET2; 12.6(1)_ES6_ET3; 12.6(1)_ES7; 12.6(1)_ES7_ET1; 12.6(1)_ES8; 12.6(1)_ES8_ET1; 12.6(1)_ES8_ET2; 12.6(1)_ES9; 12.6(1)_ES9_ET1; 12.6(1)_ES9_ET2; 12.6(1)_ES9_ET3; 12.6(1)_ET1; 12.6(1)_ET2; 12.6(1)_ET3; 12.6_ES2_ET1; 12.6_ES2_ET2; 12.6_ES2_ET3; 12.6_ES2_ET4; 12.6_ES3_ET1; 12.6_ES3_ET2,warm
1591,CVE-2025-20317,cisco,2025-08-27T16:23:18.607Z,Cisco UCS Virtual Keyboard Video Monitor (vKVM) Open Redirect Vulnerability,"A vulnerability in the Virtual Keyboard Video Monitor (vKVM) connection handling of Cisco Integrated Management Controller (IMC) could allow an unauthenticated, remote attacker to redirect a user to a malicious website.

This vulnerability is due to insufficient verification of vKVM endpoints. An attacker could exploit this vulnerability by persuading a user to click a crafted link. A successful exploit could allow the attacker to redirect a user to a malicious webpage and potentially capture user credentials.
Note: The affected vKVM client is also included in Cisco UCS Manager.",CISCO,Cisco Unified Computing System (Managed); Cisco Unified Computing System (Standalone); Cisco Unified Computing System E-Series Software (UCSE),2.0(10b); 2.0(10c); 2.0(10e); 2.0(10f); 2.0(10g); 2.0(10h); 2.0(10i); 2.0(10k); 2.0(10l); 2.0(12b); 2.0(12c); 2.0(12d); 2.0(12e); 2.0(12f); 2.0(12g); 2.0(12h); 2.0(12i); 2.0(13e); 2.0(13f); 2.0(13h); 2.0(13i); 2.0(13k); 2.0(13n); 2.0(13o); 2.0(13p); 2.0(13q); 2.0(1a); 2.0(1b); 2.0(3d)1; 2.0(3d)2; 2.0(3e)1; 2.0(3f)3; 2.0(3i); 2.0(3j)1; 2.0(4c); 2.0(4c)1; 2.0(6d); 2.0(6f); 2.0(8d); 2.0(8e); 2.0(8g); 2.0(8h); 2.0(9c); 2.0(9e); 2.0(9f); 2.0(9l); 2.0(9m); 2.0(9n); 2.0(9o); 2.0(9p); 2.0.0; 2.02; 2.1.0; 2.2.1; 2.2.2; 2.3.1; 2.3.2; 2.3.3; 2.3.5; 2.4.0; 2.4.1; 2.4.2; 3.0(1c); 3.0(1d); 3.0(2b); 3.0(3a); 3.0(3b); 3.0(3c); 3.0(3e); 3.0(3f); 3.0(4a); 3.0(4d); 3.0(4e); 3.0(4i); 3.0(4j); 3.0(4k); 3.0(4l); 3.0(4m); 3.0(4n); 3.0(4o); 3.0(4p); 3.0(4q); 3.0(4r); 3.0(4s); 3.0.1; 3.0.2; 3.1(1d); 3.1(2b); 3.1(2c); 3.1(2d); 3.1(2e); 3.1(2g); 3.1(2i); 3.1(3a); 3.1(3b); 3.1(3c); 3.1(3d); 3.1(3g); 3.1(3h); 3.1(3i); 3.1(3j); 3.1(3k); 3.1.0; 3.1.1; 3.1.2; 3.1.3; 3.1.4; 3.1.5; 3.2(1d); 3.2(2b); 3.2(2c); 3.2(2d); 3.2(2e); 3.2(2f); 3.2(3a); 3.2(3b); 3.2(3d); 3.2(3e); 3.2(3g); 3.2(3h); 3.2(3i); 3.2(3j); 3.2(3k); 3.2(3l); 3.2(3n); 3.2(3o); 3.2(3p); 3.2.1; 3.2.10; 3.2.11.1; 3.2.11.3; 3.2.11.5; 3.2.12.2; 3.2.13.6; 3.2.14; 3.2.15; 3.2.15.3; 3.2.16.1; 3.2.2; 3.2.3; 3.2.4; 3.2.6; 3.2.7; 3.2.8; 4.0(1.240); 4.0(1a); 4.0(1b); 4.0(1c); 4.0(1d); 4.0(1e); 4.0(1g); 4.0(1h); 4.0(2a); 4.0(2b); 4.0(2c); 4.0(2d); 4.0(2e); 4.0(2f); 4.0(2g); 4.0(2h); 4.0(2i); 4.0(2l); 4.0(2n); 4.0(2o); 4.0(2p); 4.0(2q); 4.0(2r); 4.0(4a); 4.0(4b); 4.0(4c); 4.0(4d); 4.0(4e); 4.0(4f); 4.0(4g); 4.0(4h); 4.0(4i); 4.0(4k); 4.0(4l); 4.0(4m); 4.0(4n); 4.0(4o); 4.00; 4.1(1a); 4.1(1b); 4.1(1c); 4.1(1d); 4.1(1e); 4.1(1f); 4.1(1g); 4.1(1h); 4.1(2a); 4.1(2b); 4.1(2c); 4.1(2d); 4.1(2e); 4.1(2f); 4.1(2g); 4.1(2h); 4.1(2j); 4.1(2k); 4.1(2l); 4.1(2m); 4.1(3a); 4.1(3b); 4.1(3c); 4.1(3d); 4.1(3e); 4.1(3f); 4.1(3h); 4.1(3i); 4.1(3j); 4.1(3k); 4.1(3l); 4.1(3m); 4.1(3n); 4.1(4a); 4.11.1; 4.12.1; 4.12.2; 4.2(1a); 4.2(1b); 4.2(1c); 4.2(1d); 4.2(1e); 4.2(1f); 4.2(1g); 4.2(1i); 4.2(1j); 4.2(1k); 4.2(1l); 4.2(1m); 4.2(1n); 4.2(2a); 4.2(2c); 4.2(2d); 4.2(2e); 4.2(2f); 4.2(2g); 4.2(3b); 4.2(3d); 4.2(3e); 4.2(3g); 4.2(3h); 4.2(3i); 4.2(3j); 4.2(3k); 4.2(3l); 4.2(3m); 4.2(3n); 4.2(3o); 4.3(1.230097); 4.3(1.230124); 4.3(1.230138); 4.3(2.230207); 4.3(2.230270); 4.3(2.240002); 4.3(2.240009); 4.3(2.240037); 4.3(2.240053); 4.3(2.240077); 4.3(2.240090); 4.3(2.240107); 4.3(2.250016); 4.3(2.250021); 4.3(2.250022); 4.3(2.250037); 4.3(2.250045); 4.3(2b); 4.3(2c); 4.3(2e); 4.3(2f); 4.3(3.240022); 4.3(3.240043); 4.3(3a); 4.3(3c); 4.3(4.240142); 4.3(4.240152); 4.3(4.241063); 4.3(4.242028); 4.3(4.242038); 4.3(4.242066); 4.3(4.252002); 4.3(4a); 4.3(4b); 4.3(4c); 4.3(4d); 4.3(4e); 4.3(4f); 4.3(5.240021); 4.3(5a); 4.3(5c); 4.3(5d); 4.3(5e),hot
1599,CVE-2025-20331,cisco,2025-08-06T16:14:41.067Z,Cisco Identity Services Engine Stored Cross-Site Scripting Vulnerabiliy,"A vulnerability in the web-based management interface of Cisco ISE and Cisco ISE-PIC could allow an authenticated, remote attacker to conduct a stored XSS attack against a user of the interface.

This vulnerability is due to insufficient validation of user-supplied input by the web-based management interface of an affected system. An attacker could exploit this vulnerability by injecting malicious code into specific pages of the interface. A successful exploit could allow the attacker to execute arbitrary script code in the context of the affected interface or access sensitive, browser-based information. To exploit this vulnerability, the attacker must have at least a low-privileged account on the affected device.",CISCO,Cisco ISE Passive Identity Connector; Cisco Identity Services Engine Software,2.7.0 p8; 3.1.0; 3.1.0 p1; 3.1.0 p2; 3.1.0 p3; 3.1.0 p4; 3.1.0 p5; 3.1.0 p6; 3.1.0 p7; 3.1.0 p8; 3.1.0 p9; 3.2.0; 3.2.0 p1; 3.2.0 p2; 3.2.0 p3; 3.2.0 p4; 3.2.0 p5; 3.2.0 p6; 3.2.0 p7; 3.3 Patch 1; 3.3 Patch 2; 3.3 Patch 3; 3.3.0; 3.4.0,warm
1600,CVE-2025-20332,cisco,2025-08-06T16:14:48.654Z,Cisco Identity Services Engine Authorization Bypass Vulnerability,"A vulnerability in the web-based management interface of Cisco ISE could allow an authenticated, remote attacker to modify parts of the configuration on an affected device.

This vulnerability is due to the lack of server-side validation of Administrator permissions. An attacker could exploit this vulnerability by submitting a crafted HTTP request to an affected system. A successful exploit could allow the attacker to modify descriptions of files on a specific page. To exploit this vulnerability, an attacker would need valid read-only Administrator&nbsp;credentials.",CISCO,Cisco Identity Services Engine Software,2.7.0 p8; 3.1.0; 3.1.0 p1; 3.1.0 p2; 3.1.0 p3; 3.1.0 p4; 3.1.0 p5; 3.1.0 p6; 3.1.0 p7; 3.1.0 p8; 3.1.0 p9; 3.2.0; 3.2.0 p1; 3.2.0 p2; 3.2.0 p3; 3.2.0 p4; 3.2.0 p5; 3.2.0 p6; 3.3 Patch 1; 3.3 Patch 2; 3.3 Patch 3; 3.3.0; 3.4.0,warm
1601,CVE-2025-20337,cisco,2025-07-16T16:17:04.664Z,Cisco ISE API Unauthenticated Remote Code Execution Vulnerability,"A vulnerability in a specific API of Cisco ISE and Cisco ISE-PIC could allow an unauthenticated, remote attacker to execute arbitrary code on the underlying operating system as root. The attacker does not require any valid credentials to exploit this vulnerability.

This vulnerability is due to insufficient validation of user-supplied input. An attacker could exploit this vulnerability by submitting a crafted API request. A successful exploit could allow the attacker to obtain root privileges on an affected device.",CISCO,Cisco ISE Passive Identity Connector; Cisco Identity Services Engine Software,3.1.0; 3.2.0; 3.3 Patch 1; 3.3 Patch 2; 3.3 Patch 3; 3.3 Patch 4; 3.3 Patch 5; 3.3 Patch 6; 3.3.0; 3.4 Patch 1; 3.4.0,hot
1602,CVE-2025-20342,cisco,2025-08-27T16:23:18.618Z,Cisco Integrated Management Controller Virtual Keyboard Video Monitor (vKVM) Stored Cross-Site Scripting Vulnerability,"A vulnerability in the Virtual Keyboard Video Monitor (vKVM) connection handling of Cisco Integrated Management Controller (IMC) could allow an authenticated, remote attacker with low privileges to conduct a stored cross-site scripting (XSS) attack against a user of the interface.

This vulnerability is due to insufficient validation of user-supplied input by the web-based management interface of an affected system. An attacker could exploit this vulnerability by injecting malicious code into a specific data field in the interface. A successful exploit could allow the attacker to execute arbitrary script code in the context of the affected interface or access sensitive, browser-based information. To exploit this vulnerability, the attacker must have valid user credentials with privileges that allow for vKVM access on the affected device.
Note: The affected vKVM client is also included in Cisco UCS Manager.",CISCO,Cisco Unified Computing System (Managed); Cisco Unified Computing System (Standalone); Cisco Unified Computing System E-Series Software (UCSE),2.0(10b); 2.0(10c); 2.0(10e); 2.0(10f); 2.0(10g); 2.0(10h); 2.0(10i); 2.0(10k); 2.0(10l); 2.0(12b); 2.0(12c); 2.0(12d); 2.0(12e); 2.0(12f); 2.0(12g); 2.0(12h); 2.0(12i); 2.0(13e); 2.0(13f); 2.0(13h); 2.0(13i); 2.0(13k); 2.0(13n); 2.0(13o); 2.0(13p); 2.0(13q); 2.0(1a); 2.0(1b); 2.0(3d)1; 2.0(3d)2; 2.0(3e)1; 2.0(3f)3; 2.0(3i); 2.0(3j)1; 2.0(4c); 2.0(4c)1; 2.0(6d); 2.0(6f); 2.0(8d); 2.0(8e); 2.0(8g); 2.0(8h); 2.0(9c); 2.0(9e); 2.0(9f); 2.0(9l); 2.0(9m); 2.0(9n); 2.0(9o); 2.0(9p); 2.0.0; 2.02; 2.1.0; 2.2.1; 2.2.2; 2.3.1; 2.3.2; 2.3.3; 2.3.5; 2.4.0; 2.4.1; 2.4.2; 3.0(1c); 3.0(1d); 3.0(2b); 3.0(3a); 3.0(3b); 3.0(3c); 3.0(3e); 3.0(3f); 3.0(4a); 3.0(4d); 3.0(4e); 3.0(4i); 3.0(4j); 3.0(4k); 3.0(4l); 3.0(4m); 3.0(4n); 3.0(4o); 3.0(4p); 3.0(4q); 3.0(4r); 3.0(4s); 3.0.1; 3.0.2; 3.1(1d); 3.1(2b); 3.1(2c); 3.1(2d); 3.1(2e); 3.1(2g); 3.1(2i); 3.1(3a); 3.1(3b); 3.1(3c); 3.1(3d); 3.1(3g); 3.1(3h); 3.1(3i); 3.1(3j); 3.1(3k); 3.1.0; 3.1.1; 3.1.2; 3.1.3; 3.1.4; 3.1.5; 3.2(1d); 3.2(2b); 3.2(2c); 3.2(2d); 3.2(2e); 3.2(2f); 3.2(3a); 3.2(3b); 3.2(3d); 3.2(3e); 3.2(3g); 3.2(3h); 3.2(3i); 3.2(3j); 3.2(3k); 3.2(3l); 3.2(3n); 3.2(3o); 3.2(3p); 3.2.1; 3.2.10; 3.2.11.1; 3.2.11.3; 3.2.11.5; 3.2.12.2; 3.2.13.6; 3.2.14; 3.2.15; 3.2.15.3; 3.2.16.1; 3.2.2; 3.2.3; 3.2.4; 3.2.6; 3.2.7; 3.2.8; 4.0(1.240); 4.0(1a); 4.0(1b); 4.0(1c); 4.0(1d); 4.0(1e); 4.0(1g); 4.0(1h); 4.0(2a); 4.0(2b); 4.0(2c); 4.0(2d); 4.0(2e); 4.0(2f); 4.0(2g); 4.0(2h); 4.0(2i); 4.0(2l); 4.0(2n); 4.0(2o); 4.0(2p); 4.0(2q); 4.0(2r); 4.0(4a); 4.0(4b); 4.0(4c); 4.0(4d); 4.0(4e); 4.0(4f); 4.0(4g); 4.0(4h); 4.0(4i); 4.0(4k); 4.0(4l); 4.0(4m); 4.0(4n); 4.0(4o); 4.00; 4.1(1a); 4.1(1b); 4.1(1c); 4.1(1d); 4.1(1e); 4.1(1f); 4.1(1g); 4.1(1h); 4.1(2a); 4.1(2b); 4.1(2c); 4.1(2d); 4.1(2e); 4.1(2f); 4.1(2g); 4.1(2h); 4.1(2j); 4.1(2k); 4.1(2l); 4.1(2m); 4.1(3a); 4.1(3b); 4.1(3c); 4.1(3d); 4.1(3e); 4.1(3f); 4.1(3h); 4.1(3i); 4.1(3j); 4.1(3k); 4.1(3l); 4.1(3m); 4.1(3n); 4.1(4a); 4.11.1; 4.12.1; 4.12.2; 4.2(1a); 4.2(1b); 4.2(1c); 4.2(1d); 4.2(1e); 4.2(1f); 4.2(1g); 4.2(1i); 4.2(1j); 4.2(1k); 4.2(1l); 4.2(1m); 4.2(1n); 4.2(2a); 4.2(2c); 4.2(2d); 4.2(2e); 4.2(2f); 4.2(2g); 4.2(3b); 4.2(3d); 4.2(3e); 4.2(3g); 4.2(3h); 4.2(3i); 4.2(3j); 4.2(3k); 4.2(3l); 4.2(3m); 4.2(3n); 4.2(3o); 4.3(1.230097); 4.3(1.230124); 4.3(1.230138); 4.3(2.230207); 4.3(2.230270); 4.3(2.240002); 4.3(2.240009); 4.3(2.240037); 4.3(2.240053); 4.3(2.240077); 4.3(2.240090); 4.3(2.240107); 4.3(2.250016); 4.3(2.250021); 4.3(2.250022); 4.3(2.250037); 4.3(2.250045); 4.3(2b); 4.3(2c); 4.3(2e); 4.3(2f); 4.3(3.240022); 4.3(3.240043); 4.3(3a); 4.3(3c); 4.3(4.240142); 4.3(4.240152); 4.3(4.241063); 4.3(4.242028); 4.3(4.242038); 4.3(4.242066); 4.3(4.252001); 4.3(4a); 4.3(4b); 4.3(4c); 4.3(4d); 4.3(4e); 4.3(4f); 4.3(5.240021); 4.3(5a); 4.3(5c); 4.3(5d); 4.3(5e),warm
1603,CVE-2025-20344,cisco,2025-08-27T16:22:59.270Z,Cisco Nexus Dashboard Path Traversal Vulnerability,"A vulnerability in the backup restore functionality of Cisco Nexus Dashboard could allow an authenticated, remote attacker to conduct a path traversal attack on an affected device.

This vulnerability is due to insufficient validation of the contents of a backup file. An attacker with valid Administrator credentials could exploit this vulnerability by restoring a crafted backup file to an affected device. A successful exploit could allow the attacker to gain root privileges on the underlying shell on the affected device.",CISCO,Cisco Nexus Dashboard,1.1(0c); 1.1(0d); 1.1(2h); 1.1(2i); 1.1(3c); 1.1(3d); 1.1(3e); 1.1(3f); 2.0(1b); 2.0(1d); 2.0(2g); 2.0(2h); 2.1(1d); 2.1(1e); 2.1(2d); 2.1(2f); 2.2(1e); 2.2(1h); 2.2(2d); 2.3(1c); 2.3(2b); 2.3(2c); 2.3(2d); 2.3(2e); 3.0(1f); 3.0(1i); 3.1(1k); 3.1(1l); 3.1(1n); 3.2(1e); 3.2(1i); 3.2(2f); 3.2(2g); 3.2(2m); 3.3(1a); 3.3(1b); 3.3(2b); 3.3(2g); 4.0(1i),warm
